epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2751.9,0.70102,1.0012,1.16417,0.68964,0.69262,0.73841,0.65363,0.52032,0.95416,0.72065,0.0004159,0.0004159,0.0004159
61,2797.4,0.69424,1.00189,1.15351,0.67591,0.70526,0.72898,0.63364,0.53822,0.99583,0.73023,0.000406,0.000406,0.000406
62,2842.91,0.68157,0.98101,1.14959,0.69983,0.71518,0.75739,0.66419,0.52297,0.93783,0.72791,0.0003961,0.0003961,0.0003961
63,2888.35,0.69151,0.97126,1.15574,0.69484,0.70147,0.74239,0.6478,0.51828,0.96385,0.72303,0.0003862,0.0003862,0.0003862
64,2933.77,0.67229,0.95807,1.14423,0.66855,0.705,0.72256,0.63321,0.52232,1.0003,0.72924,0.0003763,0.0003763,0.0003763
65,2979.39,0.67062,0.94713,1.14665,0.6847,0.7084,0.74113,0.64149,0.55679,0.9712,0.76567,0.0003664,0.0003664,0.0003664
66,3025.15,0.66861,0.93648,1.138,0.71197,0.68293,0.74106,0.64445,0.52805,0.96058,0.73464,0.0003565,0.0003565,0.0003565
67,3070.68,0.66658,0.95504,1.14602,0.66078,0.71715,0.72864,0.64154,0.51639,0.9966,0.72214,0.0003466,0.0003466,0.0003466
68,3119.1,0.66458,0.93407,1.13606,0.70997,0.69762,0.73409,0.65191,0.52836,0.94516,0.77027,0.0003367,0.0003367,0.0003367
69,3172.79,0.66592,0.94685,1.14607,0.66303,0.73143,0.73374,0.65197,0.49867,0.95565,0.70705,0.0003268,0.0003268,0.0003268
70,3227.68,0.6488,0.91147,1.1259,0.68364,0.70199,0.73201,0.64886,0.51255,0.95549,0.72335,0.0003169,0.0003169,0.0003169
71,3281.68,0.64831,0.91646,1.13015,0.68893,0.70623,0.73866,0.65642,0.50305,0.94534,0.72621,0.000307,0.000307,0.000307
72,3335.96,0.65715,0.91299,1.14008,0.70529,0.71719,0.74298,0.65463,0.52552,0.94633,0.7346,0.0002971,0.0002971,0.0002971
73,3390.14,0.65276,0.91831,1.13123,0.71486,0.67868,0.73673,0.64692,0.51414,0.95447,0.73899,0.0002872,0.0002872,0.0002872
74,3444.77,0.65093,0.90413,1.12938,0.71096,0.69911,0.73792,0.64964,0.54721,0.96548,0.75566,0.0002773,0.0002773,0.0002773
75,3490.95,0.64302,0.90286,1.12918,0.72377,0.69053,0.73358,0.65846,0.5102,0.95325,0.74544,0.0002674,0.0002674,0.0002674
